"Date(UTC)","UnixTimeStamp","Value (Wei)","Value (ETH/USD)"
"7/30/2015","1438214400","0","0.00"
"7/31/2015","1438300800","0","0.00"
"8/1/2015","1438387200","0","0.00"
"8/2/2015","1438473600","0","0.00"
"8/3/2015","1438560000","0","0.00"
"8/4/2015","1438646400","0","0.00"
"8/5/2015","1438732800","0","0.00"
"8/6/2015","1438819200","0","0.00"
"8/7/2015","1438905600","604684154870","2.77"
"8/8/2015","1438992000","322713574989","0.81"
"8/9/2015","1439078400","475467129048","0.74"
"8/10/2015","1439164800","421654904254","0.68"
"8/11/2015","1439251200","77838819162","1.06"
"8/12/2015","1439337600","444902379011","1.25"
"8/13/2015","1439424000","268683475202","1.78"
"8/14/2015","1439510400","193455494453","1.80"
"8/15/2015","1439596800","144368937208","1.79"
"8/16/2015","1439683200","120940093311","1.37"
"8/17/2015","1439769600","132149993345","1.20"
"8/18/2015","1439856000","146513014268","1.27"
"8/19/2015","1439942400","194583349948","1.26"
"8/20/2015","1440028800","99011782801","1.48"
"8/21/2015","1440115200","79543407701","1.44"
"8/22/2015","1440201600","552841333007","1.39"
"8/23/2015","1440288000","73439482806","1.35"
"8/24/2015","1440374400","92409814705","1.24"
"8/25/2015","1440460800","76432335617","1.17"
"8/26/2015","1440547200","60481160549","1.16"
"8/27/2015","1440633600","59307091958","1.13"
"8/28/2015","1440720000","92879907335","1.30"
"8/29/2015","1440806400","56211090684","1.18"
"8/30/2015","1440892800","55155494457","1.32"
"8/31/2015","1440979200","58423521569","1.35"
"9/1/2015","1441065600","56671549652","1.35"
"9/2/2015","1441152000","59243651401","1.29"
"9/3/2015","1441238400","55051483461","1.26"
"9/4/2015","1441324800","58779015464","1.27"
"9/5/2015","1441411200","54768144366","1.37"
"9/6/2015","1441497600","55089818552","1.30"
"9/7/2015","1441584000","53594260637","1.24"
"9/8/2015","1441670400","64932639811","1.23"
"9/9/2015","1441756800","53779997784","1.21"
"9/10/2015","1441843200","54630657670","1.16"
"9/11/2015","1441929600","55713802958","0.98"
"9/12/2015","1442016000","61830202468","1.04"
"9/13/2015","1442102400","52313524792","0.94"
"9/14/2015","1442188800","53772389657","0.87"
"9/15/2015","1442275200","53191101494","0.94"
"9/16/2015","1442361600","111518559318","0.90"
"9/17/2015","1442448000","55637920883","0.89"
"9/18/2015","1442534400","55703151966","0.85"
"9/19/2015","1442620800","51639660974","0.89"
"9/20/2015","1442707200","52910345407","0.94"
"9/21/2015","1442793600","51171380285","0.90"
"9/22/2015","1442880000","51465441496","0.90"
"9/23/2015","1442966400","51732832046","0.90"
"9/24/2015","1443052800","54262646753","0.81"
"9/25/2015","1443139200","52300197415","0.74"
"9/26/2015","1443225600","55315658061","0.78"
"9/27/2015","1443312000","51025979902","0.72"
"9/28/2015","1443398400","52683661382","0.59"
"9/29/2015","1443484800","55437141860","0.68"
"9/30/2015","1443571200","51461473059","0.72"
"10/1/2015","1443657600","51474669294","0.68"
"10/2/2015","1443744000","52567714347","0.68"
"10/3/2015","1443830400","52502578427","0.69"
"10/4/2015","1443916800","50733256095","0.67"
"10/5/2015","1444003200","50742818443","0.63"
"10/6/2015","1444089600","51375494165","0.66"
"10/7/2015","1444176000","51181314265","0.61"
"10/8/2015","1444262400","56971870131","0.62"
"10/9/2015","1444348800","61962572208","0.65"
"10/10/2015","1444435200","64893302980","0.63"
"10/11/2015","1444521600","56318375319","0.63"
"10/12/2015","1444608000","51359902694","0.63"
"10/13/2015","1444694400","53219625156","0.60"
"10/14/2015","1444780800","57976429615","0.51"
"10/15/2015","1444867200","54823147993","0.56"
"10/16/2015","1444953600","53404946237","0.53"
"10/17/2015","1445040000","53619552703","0.55"
"10/18/2015","1445126400","52006592112","0.52"
"10/19/2015","1445212800","52456819761","0.49"
"10/20/2015","1445299200","53767556518","0.44"
"10/21/2015","1445385600","53588794315","0.44"
"10/22/2015","1445472000","57253941421","0.59"
"10/23/2015","1445558400","51207267003","0.52"
"10/24/2015","1445644800","50749518370","0.57"
"10/25/2015","1445731200","51635339670","0.65"
"10/26/2015","1445817600","54585998170","0.74"
"10/27/2015","1445904000","53525777571","0.87"
"10/28/2015","1445990400","54787998286","1.01"
"10/29/2015","1446076800","52364630378","1.16"
"10/30/2015","1446163200","54017718700","1.04"
"10/31/2015","1446249600","53753181787","0.89"
"11/1/2015","1446336000","50751088484","1.05"
"11/2/2015","1446422400","53162663704","0.96"
"11/3/2015","1446508800","51578536572","1.00"
"11/4/2015","1446595200","52243136362","0.87"
"11/5/2015","1446681600","52990311400","0.89"
"11/6/2015","1446768000","52184810513","0.92"
"11/7/2015","1446854400","51944373853","0.92"
"11/8/2015","1446940800","52414324288","1.02"
"11/9/2015","1447027200","51918274052","1.00"
"11/10/2015","1447113600","52237284910","0.92"
"11/11/2015","1447200000","52560853806","0.78"
