"id","classes","url","download-url"
"DRON",578205,"https://bioportal.bioontology.org/ontologies/DRON","https://data.bioontology.org/ontologies/DRON/submissions/12/download?apikey=8b5b7825-538d-40e0-9e9e-5ab9274a9aeb"
"RH-MESH",205349,"https://bioportal.bioontology.org/ontologies/RH-MESH","https://data.bioontology.org/ontologies/RH-MESH/submissions/3/download?apikey=8b5b7825-538d-40e0-9e9e-5ab9274a9aeb"
"BIOMODELS",187520,"https://bioportal.bioontology.org/ontologies/BIOMODELS","https://data.bioontology.org/ontologies/BIOMODELS/submissions/3/download?apikey=8b5b7825-538d-40e0-9e9e-5ab9274a9aeb"
"NCIT",167138,"https://bioportal.bioontology.org/ontologies/NCIT","https://data.bioontology.org/ontologies/NCIT/submissions/108/download?apikey=8b5b7825-538d-40e0-9e9e-5ab9274a9aeb"
"GEXO",166254,"https://bioportal.bioontology.org/ontologies/GEXO","https://data.bioontology.org/ontologies/GEXO/submissions/2/download?apikey=8b5b7825-538d-40e0-9e9e-5ab9274a9aeb"
"UPHENO",159212,"https://bioportal.bioontology.org/ontologies/UPHENO","https://data.bioontology.org/ontologies/UPHENO/submissions/3/download?apikey=8b5b7825-538d-40e0-9e9e-5ab9274a9aeb"
"REXO",158239,"https://bioportal.bioontology.org/ontologies/REXO","https://data.bioontology.org/ontologies/REXO/submissions/6/download?apikey=8b5b7825-538d-40e0-9e9e-5ab9274a9aeb"
"NIFST",157665,"https://bioportal.bioontology.org/ontologies/NIFSTD","https://data.bioontology.org/ontologies/NIFSTD/submissions/27/download?apikey=8b5b7825-538d-40e0-9e9e-5ab9274a9aeb"
"RETO",147738,"https://bioportal.bioontology.org/ontologies/RETO","https://data.bioontology.org/ontologies/RETO/submissions/8/download?apikey=8b5b7825-538d-40e0-9e9e-5ab9274a9aeb"
"IOBC",126842,"https://bioportal.bioontology.org/ontologies/IOBC","https://data.bioontology.org/ontologies/IOBC/submissions/23/download?apikey=8b5b7825-538d-40e0-9e9e-5ab9274a9aeb"
